地区,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年
北京市,13794.2,14867.7,13716.4,15063.7,14422.3,13933.7,13134.9,12271.9,9638,8872.1,8123.5,7222.2,6340.3,5309.9,4645.5,3835.2,3295.3,2911.7,2191.8,1916.7
天津市,3572,3769.8,3582.9,4218.2,4231.2,4210.4,4188.1,3963.2,4738.7,4470.4,3921.4,3395.1,2860.2,2430.8,2078.7,1650.6,1383.1,1201.6,1052.7,922.3
河北省,13720.1,13509.9,12705,12985.5,11973.9,11138.5,10191.4,9367.5,11820.5,10516.7,9254,8035.5,6821.8,5764.9,4991.1,4053.8,3435.7,2969.5,2522.9,2177.9
山西省,7562.7,7747.3,6746.3,7030.5,6523.3,6058.5,5699.2,5345.1,5717.9,5139.3,4506.8,3903.4,3318.2,2809,2421.1,1953.3,1635.4,1410.7,884.8,729.3
内蒙古自治区,4971.4,5060.3,4760.5,5051.1,4852.3,4642.6,4415.9,4103.5,5657.6,5114.2,4572.5,3991.7,3384,2855.3,2463,1964,1628.6,1358.1,892,726.8
辽宁省,9526.2,9783.9,8960.9,9670.6,9112.8,8696.4,8597.1,8364.8,11857,10581.4,9304.2,8095.3,6887.6,5812.6,5032.4,4097.8,3471.6,3014.4,2642.8,2330.8
吉林省,3807.7,4216.6,3824,4212.9,4073.8,3992.3,3812.9,3571.7,6080.9,5426.4,4772.9,4119.8,3504.9,2957.3,2549.2,2038.3,1697.6,1470.3,1252.6,1110.3
黑龙江省,5210,5542.9,5092.3,5603.9,5275,5077.4,4794.1,4471,7015.3,6251.2,5491,4750.1,4039.2,3401.8,2928.3,2386.2,2029,1773.8,1555.4,1376.5
上海市,16442.1,18079.3,15932.5,15847.6,14874.8,13699.5,12588.2,11605.7,9303.5,8557,7840.4,7185.8,6186.6,5173.2,4577.2,3873.3,3375.2,2979.5,2454.6,2220.6
江苏省,42752.1,42702.6,37086.1,37672.5,35472.6,32818.2,29612.5,26710.1,23458.1,20878.2,18411.1,16058.3,13606.3,11484.1,9905.1,7985.9,6706.2,5735.5,4159.7,3566.5
浙江省,30467.2,29210.5,26629.8,27343.8,25161.9,23121.3,20916.7,18910.7,17835.3,15970.8,14199.6,12532.8,10387,8622.3,7533.3,6271.3,5358,4645.9,3645.4,3157.1
安徽省,21518.4,21471.2,18334,17862.1,16156.2,14328.8,12662.5,11190.8,7957,7044.7,6142.8,5288.2,4300.5,3527.8,3045.2,2451.9,2056.5,1776.7,1503.1,1331.2
福建省,21050.1,20373.1,18626.5,18896.8,17178.4,15393.9,13703,12273,9346.7,8275.3,7256.5,6276.2,5310,4481,3866.7,3212.3,2717.6,2351.7,1995.8,1740.4
江西省,12853.5,12206.7,10371.8,10068.1,9045.7,8118,7198.5,6419.8,5292.6,4696.1,4123.3,3560.5,2971,2484.4,2142,1718.9,1448.2,1244.9,1059.9,923.2
山东省,33236.2,33714.5,29248,29251.2,27480.3,25527.9,23482.1,21550.9,25111.5,22294.8,19651.9,17155.5,14620.3,12363,10658.8,8607.5,7217.1,6166.9,4483.4,3936.5
河南省,24407.4,24381.7,22502.8,23476.1,21268,19289.1,17274.5,15475.8,14005,12426.6,10915.6,9453.6,8004.2,6746.4,5815.4,4690.3,3932.6,3380.9,2808.2,2426.4
湖北省,22164.8,21561.4,17984.9,22722.3,20598.2,18519.7,16601.9,14847.9,12449.3,11035.9,9682.4,8363.3,7014.4,5928.4,5109.7,4115.8,3461.1,2985.9,2667.5,2358.7
湖南省,19050.7,18596.9,16258.1,16683.9,15134.3,13793.7,12500,11241.4,10723.5,9509.5,8318.7,7209,5952.6,4913.7,4222.6,3419.2,2869.4,2474.3,2069.8,1816.3
广东省,44882.9,44187.7,40207.9,42951.8,39767.1,36598.6,33303.2,30326.8,28471.1,25453.9,22677.1,20297.5,17458.4,14891.8,12986.6,10731.3,9194.3,7915.5,6370.4,5606
广西壮族自治区,8539.1,8538.5,7831,8200.9,7663.5,7038,6349.8,5771.5,5772.8,5133.1,4516.6,3908.2,3312,2790.7,2395.8,1932.7,1620.3,1405.5,973.4,857.7
海南省,2268.4,2497.6,1974.6,1951.1,1852.7,1729.4,1547.3,1409.4,1224.5,1090.9,950.2,822.5,663.8,537.5,463.2,370.9,313.4,270.8,220.2,191.6
重庆市,13926.1,13967.7,11787.2,11631.7,10705.2,9769.4,8728.4,7667.6,5710.7,5055.8,4403,3782.3,3051.1,2479,2147.1,1711.1,1431.5,1227.8,955,835.5
四川省,24104.6,24133.2,20824.9,21343,19340.7,17404.4,15519.7,13834.4,12393,11001,9622,8290.8,6884.8,5758.7,4944.8,4105.6,3472.5,3003.5,2384,2091.1
贵州省,8507.1,8904.3,7833.4,7468.2,7105,6449.4,5651.9,4925.2,2936.9,2601.2,2266.3,1899.9,1531.6,1247.3,1075.2,858.2,710,615.7,517.6,458.8
云南省,10838.8,10731.8,9792.9,10158.2,9197.3,8194.8,7222.7,6390.8,4632.9,4112.6,3597.9,3105.9,2555.8,2051.1,1764.7,1422.5,1204.8,1041.3,884.9,782.5
西藏自治区,726.5,810.3,745.8,773.4,711.8,618.8,539.1,477.1,364.5,322.2,277.9,237.5,192.4,156.6,130,112.6,90,73.2,63.7,58.3
陕西省,10401.6,10250.5,9605.9,10213,9510.3,8611.2,7680.7,6859.1,5918.7,5245,4581.6,3900.6,3257.5,2699.7,2317.1,1837.3,1542.4,1331.3,966.5,853.2
甘肃省,3922.2,4037.1,3632.4,3700.3,3435.6,3206.2,2984.2,2737.1,2668.3,2368.8,2064.4,1772.9,1435.5,1183,1023.6,854.4,729.5,638.1,535.8,474.6
青海省,842.1,947.8,877.3,948.5,899.9,842.9,769.9,694.6,620.8,549.6,480.3,413.4,351,300.5,259.7,212.6,182.6,161.6,115.6,102.7
宁夏回族自治区,1338.4,1335.1,1301.4,1399.4,1330.1,1253.7,1130.6,1039.8,737.2,668.5,590.5,515.5,418.5,339.3,295.4,239.5,202.5,175.8,137.8,120.8
新疆维吾尔自治区,3240.5,3584.6,3062.5,3617,3429.1,3249.8,3005.2,2769.6,2436.5,2179.5,1916.1,1662.4,1386.1,1177.5,1041.5,857.5,733.2,640.2,482.1,421.2
